Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
08/18/2021,01/01/2020,08/14/2021,AK,Aleutians East Borough,2013,Noncore,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
08/18/2021,01/01/2020,08/14/2021,AK,Anchorage Municipality,2020,Medium metro,204,3143,
08/18/2021,01/01/2020,08/14/2021,AK,Bethel Census Area,2050,Noncore,17,154,
08/18/2021,01/01/2020,08/14/2021,AK,Dillingham Census Area,2070,Noncore,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
08/18/2021,01/01/2020,08/14/2021,AK,Fairbanks North Star Borough,2090,Small metro,47,741,
08/18/2021,01/01/2020,08/14/2021,AK,Hoonah-Angoon Census Area,2105,Noncore,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
08/18/2021,01/01/2020,08/14/2021,AK,Juneau City and Borough,2110,Micropolitan,,235,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
08/18/2021,01/01/2020,08/14/2021,AK,Kenai Peninsula Borough,2122,Noncore,14,501,
08/18/2021,01/01/2020,08/14/2021,AK,Ketchikan Gateway Borough,2130,Micropolitan,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
08/18/2021,01/01/2020,08/14/2021,AK,Kodiak Island Borough,2150,Noncore,,89,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
08/18/2021,01/01/2020,08/14/2021,AK,Matanuska-Susitna Borough,2170,Medium metro,47,873,
08/18/2021,01/01/2020,08/14/2021,AK,North Slope Borough,2185,Noncore,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
08/18/2021,01/01/2020,08/14/2021,AK,Sitka City and Borough,2220,Noncore,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
08/18/2021,01/01/2020,08/14/2021,AK,Valdez-Cordova Census Area,2261,Noncore,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
08/18/2021,01/01/2020,08/14/2021,AK,Wade Hampton Census Area,2270,Noncore,,53,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
08/18/2021,01/01/2020,08/14/2021,AL,Autauga County,1001,Medium metro,97,824,
08/18/2021,01/01/2020,08/14/2021,AL,Baldwin County,1003,Small metro,281,3777,
08/18/2021,01/01/2020,08/14/2021,AL,Barbour County,1005,Noncore,46,450,
08/18/2021,01/01/2020,08/14/2021,AL,Bibb County,1007,Large fringe metro,31,307,
08/18/2021,01/01/2020,08/14/2021,AL,Blount County,1009,Large fringe metro,51,807,
08/18/2021,01/01/2020,08/14/2021,AL,Bullock County,1011,Noncore,,163,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
